InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.4:2913,44,506342,9,300000,65536,3,3000,"[2,9,19,23,34,40,55]",OK,236169,419678,232169,119678,753,1500,753,14525,36792,14525,434956,270461,134956,15.664772,0,0,0,1,1,113,5126,0
10.10.0.29:2912,52,503383,9,300000,65536,3,3000,"[2,9,19,23,34,40,55]",OK,326702,563786,393852,263786,7,95,7,21945,27233,21945,585738,421180,285738,49.907475,0,0,0,1,7,1425,7205,0
10.10.0.33:2915,43,511106,9,300000,65536,3,3000,"[2,9,19,23,34,40,55]",OK,231663,424585,235118,124585,943,1700,943,27387,51678,27387,452915,288496,152915,39.665653,0,0,0,1,1,1998,6447,0
10.10.0.32:2915,9,512371,9,300000,65536,3,3000,"[2,9,19,23,34,40,55]",OK,235787,444111,255941,144111,2067,2796,2067,14140,36591,14140,460318,295328,160318,52.360134,0,0,0,1,1,2527,4066,0
10.10.0.11:2912,35,510526,9,300000,65536,3,3000,"[2,9,19,23,34,40,55]",OK,252335,571170,387618,271170,55,216,55,27480,46073,27480,598705,433907,298705,9.044369,0,0,0,0,1,221,1930,0
10.10.0.29:2913,46,501383,9,300000,65536,3,3000,"[2,9,19,23,34,40,55]",OK,353464,467624,298668,167624,1131,1752,1131,250,3014,250,469005,303434,169005,22.564209,0,0,0,1,12,348,3905,0
10.10.0.4:2912,30,506341,9,300000,65536,3,3000,"[2,9,19,23,34,40,55]",OK,244814,397101,212229,97101,503,1053,503,16294,36272,16294,413898,249554,113898,45.382526,0,0,0,1,1,1830,6699,0
10.10.0.11:2914,19,509132,9,300000,65536,3,3000,"[2,9,19,23,34,40,55]",OK,291108,574243,399269,274243,1640,2361,1640,12113,22045,12113,587996,423675,287996,29.151375,0,0,0,1,1,495,6760,0
10.10.0.32:2913,12,508123,9,300000,65536,3,3000,"[2,9,19,23,34,40,55]",OK,237591,442459,254757,142459,664,819,664,19578,42173,19578,462701,297749,162701,57.289154,0,0,0,1,1,2473,9136,0
10.10.0.26:2912,15,512369,9,300000,65536,3,3000,"[2,9,19,23,34,40,55]",OK,233898,407302,218432,107302,55,140,55,19379,43566,19379,426736,262138,126736,142.09953,0,0,0,1,4,3167,6740,0
