InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.11:2912,66,42275,16,10000,256,0,1000,"[2,7,17,22,37,40]",OK,19838,19794,15628,9794,398,589,398,0,0,0,20192,16217,10192,-234.5268,-717,-651,-459,-267,-76,575,814,-720
10.10.0.18:2914,20,43991,16,10000,256,0,1000,"[2,7,17,22,37,40]",OK,19838,18102,13987,8102,403,601,403,0,0,0,18505,14588,8505,88.74938,-358,-356,-99,-25,219,935,1173,-361
10.10.0.11:2916,79,42375,16,10000,256,0,1000,"[2,7,17,22,37,40]",OK,19846,20690,16670,10690,183,383,183,0,0,0,20873,17053,10873,-492.32498,-1008,-942,-724,-549,-367,285,492,-1011
10.10.0.14:2921,99,40297,16,10000,256,0,1000,"[2,7,17,22,37,40]",OK,19835,29971,25953,19971,334,406,334,385,523,385,30690,26882,20690,-951.78174,-1491,-1491,-1208,-959,-750,-191,-151,-1495
10.10.0.20:2912,48,40548,16,10000,256,0,1000,"[2,7,17,22,37,40]",OK,19841,30464,26188,20464,389,558,389,0,0,0,30853,26746,20853,138.12253,-275,-175,-25,43,192,1017,1232,-277
10.10.0.15:2915,25,43546,16,10000,256,0,1000,"[2,7,17,22,37,40]",OK,19846,18096,13796,8096,245,417,245,0,0,0,18341,14213,8341,223.34328,-234,-227,42,158,400,1067,1259,-238
10.10.0.18:2913,22,45520,16,10000,256,0,1000,"[2,7,17,22,37,40]",OK,19842,17523,13314,7523,298,511,298,0,0,0,17821,13825,7821,113.91356,-359,-356,-89,33,275,942,1173,-362
10.10.0.20:2919,40,42310,16,10000,256,0,1000,"[2,7,17,22,37,40]",OK,19844,19179,14978,9179,252,450,252,0,0,0,19431,15428,9431,-326.32175,-792,-725,-509,-432,-217,509,718,-794
10.10.0.10:2914,35,45003,16,10000,256,0,1000,"[2,7,17,22,37,40]",OK,19839,19451,15271,9451,185,406,185,1,1,1,19637,15678,9637,195.47206,-275,-272,-8,83,352,1025,1256,-278
10.10.0.16:2914,47,42559,16,10000,256,0,1000,"[2,7,17,22,37,40]",OK,19837,22438,18247,12438,321,530,321,0,0,0,22759,18777,12759,-124.924164,-625,-558,-342,-210,33,672,878,-629
