InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.11:2916,72,304435,28,500000,2048,4,3000,"[5,15,47,50]",OK,258862,715527,460397,215527,220,458,220,2996,7605,2996,718743,468460,218743,-201.75507,-777,-772,-473,-300,4,769,1134,-775
10.10.0.9:2913,23,308378,28,500000,2048,4,3000,"[5,15,47,50]",OK,259757,697738,443423,197738,168,402,168,3261,7273,3261,701167,451098,201167,73.913086,-430,-425,-176,-54,192,1267,2749,-428
10.10.0.3:2914,71,307574,28,500000,2048,4,3000,"[5,15,47,50]",OK,264985,707471,456206,207471,218,470,218,680,2034,680,708369,458710,208369,163.8313,-380,-375,-75,124,313,1166,1381,-378
10.10.0.9:2916,20,308346,28,500000,2048,4,3000,"[5,15,47,50]",OK,266021,688180,437316,188180,198,411,198,726,1744,726,689104,439471,189104,155.7964,-338,-334,-150,68,351,1209,1399,-336
10.10.0.8:2915,12,308642,28,500000,2048,4,3000,"[5,15,47,50]",OK,260510,711747,458186,211747,62,158,62,3747,7449,3747,715556,465793,215556,254.26634,-263,-258,-75,167,441,1284,3543,-261
10.10.0.8:2913,11,308643,28,500000,2048,4,3000,"[5,15,47,50]",OK,260789,711052,458030,211052,140,366,140,3961,7397,3961,715153,465793,215153,345.33945,-171,-165,75,267,492,1526,3687,-168
10.10.0.6:2912,43,308145,28,500000,2048,4,3000,"[5,15,47,50]",OK,266008,699501,447557,199501,153,381,153,598,1610,598,700252,449548,200252,-9.280664,-533,-530,-248,-90,128,1010,1167,-545
10.10.0.3:2915,61,307332,28,500000,2048,4,3000,"[5,15,47,50]",OK,265816,682437,431714,182437,278,499,278,256,1325,256,682971,433538,182971,279.86108,-283,-278,13,219,409,1266,1415,-281
10.10.0.6:2914,29,306656,28,500000,2048,4,3000,"[5,15,47,50]",OK,259230,692826,439580,192826,208,541,208,2542,6670,2542,695576,446791,195576,8.285044,-475,-473,-203,-45,184,1068,1390,-487
10.10.0.23:2912,28,308052,28,500000,2048,4,3000,"[5,15,47,50]",OK,259527,692770,438902,192770,273,584,273,2630,6641,2630,695673,446127,195673,-36.49374,-512,-508,-259,-107,91,1034,1410,-510
10.10.0.17:2912,107,304691,28,500000,2048,4,3000,"[5,15,47,50]",OK,271177,688195,438382,188195,1397,1753,1397,6,255,6,689598,440390,189598,-1140.9603,-1696,-1692,-1434,-1250,-1008,-129,857,-1694
10.10.0.4:2917,85,304962,28,500000,2048,4,3000,"[5,15,47,50]",OK,265934,692257,440936,192257,491,753,491,338,1423,338,693086,443112,193086,223.76732,-296,-292,-45,116,425,1250,1624,-294
10.10.0.6:2916,30,308444,28,500000,2048,4,3000,"[5,15,47,50]",OK,259218,692795,439523,192795,33,63,33,3897,8573,3897,696725,448159,196725,166.96178,-326,-324,-74,82,333,1217,3331,-338
10.10.0.22:2917,1,310374,28,500000,2048,4,3000,"[5,15,47,50]",OK,273556,715586,5861575,215586,815,7835,815,3,3324,3,716404,5872734,216404,543.1156,-10,-5,276,459,684,1683,2003,52
10.10.0.14:2917,9,308844,28,500000,2048,4,3000,"[5,15,47,50]",OK,258634,712964,457854,212964,309,638,309,5480,10204,5480,718753,468696,218753,367.87732,-170,-167,83,265,516,1525,3465,-186
10.10.0.15:2917,93,305150,28,500000,2048,4,3000,"[5,15,47,50]",OK,268127,691262,441297,191262,0,0,0,1134,1973,1134,692396,443270,192396,-592.49835,-1121,-1117,-875,-618,-417,425,2795,-1119
10.10.0.14:2914,8,308811,28,500000,2048,4,3000,"[5,15,47,50]",OK,258469,714353,459568,214353,25,56,25,6699,12061,6699,721077,471685,221077,264.11877,-228,-225,-58,182,458,1467,3424,-244
10.10.0.5:2916,31,308278,28,500000,2048,4,3000,"[5,15,47,50]",OK,267286,682970,432400,182970,75,170,75,407,1180,407,683452,433750,183452,82.517365,-472,-466,-185,-34,257,1075,2742,-469
10.10.0.5:2912,42,308137,28,500000,2048,4,3000,"[5,15,47,50]",OK,259560,711678,457093,211678,149,359,149,3258,7387,3258,715085,464839,215085,-62.959885,-521,-515,-257,-124,42,1026,3317,-518
10.10.0.22:2914,5,309129,28,500000,2048,4,3000,"[5,15,47,50]",OK,258996,721271,467170,221271,184,416,184,5310,9911,5310,726765,477497,226765,406.4818,-150,-146,96,291,684,1548,3579,-89
10.10.0.3:2913,51,307332,28,500000,2048,4,3000,"[5,15,47,50]",OK,258553,699702,444210,199702,5,39,5,3830,9202,3830,703537,453451,203537,527.19763,-5,0,315,467,683,1541,3143,-3
10.10.0.8:2914,13,308888,28,500000,2048,4,3000,"[5,15,47,50]",OK,260240,707289,453994,207289,175,416,175,3215,6929,3215,710679,461339,210679,132.84515,-388,-383,-175,26,309,1159,2614,-385
10.10.0.6:2917,35,308387,28,500000,2048,4,3000,"[5,15,47,50]",OK,259426,723582,469543,223582,2,38,2,3719,8339,3719,727303,477920,227303,83.51982,-434,-432,-147,-5,227,1109,2709,-446
10.10.0.18:2916,46,307674,28,500000,2048,4,3000,"[5,15,47,50]",OK,265124,693543,442767,193543,87,166,87,804,2261,804,694434,445194,194434,-86.25851,-662,-657,-349,-191,55,1034,1041,-660
10.10.0.6:2913,24,308144,28,500000,2048,4,3000,"[5,15,47,50]",OK,259244,696644,441707,196644,157,390,157,2881,7196,2881,699682,449293,199682,17.586205,-500,-498,-231,-107,185,1043,1198,-512
10.10.0.9:2915,16,308346,28,500000,2048,4,3000,"[5,15,47,50]",OK,259514,705762,451557,205762,65,160,65,3446,7824,3446,709273,459541,209273,370.87653,-171,-166,92,267,518,1526,1532,-169
10.10.0.7:2912,68,306111,28,500000,2048,4,3000,"[5,15,47,50]",OK,266415,717134,465883,217134,3,37,3,555,1597,555,717692,467517,217692,235.44066,-320,-315,-24,192,376,1110,3235,-318
10.10.0.23:2915,40,306638,28,500000,2048,4,3000,"[5,15,47,50]",OK,260095,713589,460346,213589,226,484,226,2612,6502,2612,716427,467332,216427,141.62502,-338,-334,-84,92,262,1208,1398,-336
10.10.0.22:2915,0,309196,28,500000,2048,4,3000,"[5,15,47,50]",OK,271888,708588,3159800,208588,414,1457,414,143,2979,143,709145,3164236,209145,547.66956,-9,-5,275,460,689,1684,1701,52
10.10.0.8:2912,19,308888,28,500000,2048,4,3000,"[5,15,47,50]",OK,265733,700565,449257,200565,806,995,806,1361,2420,1361,702732,452672,202732,275.4401,-287,-282,-8,164,489,1409,3339,-285
10.10.0.6:2915,26,308387,28,500000,2048,4,3000,"[5,15,47,50]",OK,259176,695730,441250,195730,23,126,23,4307,8869,4307,700060,450245,200060,113.3407,-408,-405,-148,4,278,1138,3286,-420
10.10.0.10:2913,106,301716,28,500000,2048,4,3000,"[5,15,47,50]",OK,270219,690851,441609,190851,1065,1379,1065,279,618,279,692195,443606,192195,195.29532,-405,-400,-100,75,372,1142,1332,-403
10.10.0.7:2915,74,304395,28,500000,2048,4,3000,"[5,15,47,50]",OK,265847,701966,451157,201966,324,634,324,498,1463,498,702788,453254,202788,-645.1364,-1196,-1191,-909,-721,-508,350,1043,-1194
10.10.0.23:2913,39,308114,28,500000,2048,4,3000,"[5,15,47,50]",OK,260219,716209,463035,216209,239,467,239,2553,6258,2553,719001,469760,219001,-39.54799,-579,-574,-292,-142,108,1117,1120,-577
10.10.0.20:2917,86,304708,28,500000,2048,4,3000,"[5,15,47,50]",OK,263509,694965,442699,194965,646,871,646,1082,3111,1082,696693,446681,196693,-173.68626,-704,-699,-424,-258,-41,842,1032,-702
10.10.0.4:2915,79,303246,28,500000,2048,4,3000,"[5,15,47,50]",OK,261108,709580,456562,209580,2,38,2,3458,7014,3458,713040,463614,213040,308.09094,-245,-241,17,257,471,1301,3733,-243
10.10.0.18:2913,38,306232,28,500000,2048,4,3000,"[5,15,47,50]",OK,258690,715734,461578,215734,25,53,25,4386,9458,4386,720145,471089,220145,292.03397,-212,-208,68,218,450,1334,1488,-210
10.10.0.28:2913,58,307966,28,500000,2048,4,3000,"[5,15,47,50]",OK,259457,692002,437023,192002,257,556,257,2746,6838,2746,695005,444417,195005,-19.746946,-554,-549,-282,-74,142,992,2862,-552
10.10.0.15:2913,65,305325,28,500000,2048,4,3000,"[5,15,47,50]",OK,258671,722948,468778,222948,27,125,27,4471,9583,4471,727446,478486,227446,-278.35443,-780,-776,-493,-334,-118,651,952,-778
10.10.0.22:2916,3,307670,28,500000,2048,4,3000,"[5,15,47,50]",OK,268114,725439,2090650,225439,137,1857,137,1970,6467,1970,727546,2098974,227546,462.30124,-84,-81,198,368,608,1610,3056,-23
10.10.0.15:2915,90,305184,28,500000,2048,4,3000,"[5,15,47,50]",OK,263562,693988,442034,193988,0,0,0,1690,4314,1690,695678,446348,195678,-65.84151,-679,-675,-359,-159,113,1018,1019,-677
10.10.0.5:2913,27,306563,28,500000,2048,4,3000,"[5,15,47,50]",OK,260159,692284,437709,192284,0,40,0,2779,6862,2779,695063,444611,195063,180.76537,-347,-342,-60,84,341,1350,1357,-344
10.10.0.4:2914,82,304962,28,500000,2048,4,3000,"[5,15,47,50]",OK,264924,698752,446737,198752,339,433,339,619,2100,619,699710,449270,199710,140.04703,-437,-433,-165,75,340,1109,2472,-435
10.10.0.16:2914,44,308142,28,500000,2048,4,3000,"[5,15,47,50]",OK,264596,698951,447829,198951,298,543,298,665,2196,665,699914,450568,199914,-50.80066,-589,-581,-300,-143,82,958,2024,-621
